Date,Open,High,Low,Close,Adj Close,Volume
2021-05-05,45.200001,45.799999,44.299999,45.349998,43.784420,537129
2021-05-06,45.299999,45.799999,45.000000,45.549999,43.977516,191031
2021-05-07,45.000000,47.150002,44.799999,46.900002,45.280910,679693
2021-05-10,47.000000,47.900002,45.500000,46.099998,44.508526,553658
2021-05-11,46.000000,46.000000,45.000000,45.700001,44.122341,340179
2021-05-12,46.000000,46.099998,44.900002,45.049999,43.494778,282413
2021-05-13,45.299999,45.950001,44.599998,45.900002,44.315434,390194
2021-05-14,46.000000,48.000000,46.000000,47.750000,46.101566,593173
2021-05-17,48.000000,48.700001,47.799999,48.450001,46.777401,1095279
2021-05-18,48.700001,49.000000,47.500000,48.450001,46.777401,408763
2021-05-19,48.349998,49.150002,46.500000,48.900002,47.211868,495895
2021-05-20,48.750000,50.000000,48.750000,49.950001,48.225620,904160
2021-05-21,50.000000,50.099998,48.200001,48.450001,46.777401,680866
2021-05-26,48.849998,48.849998,47.299999,48.099998,46.439484,282792
2021-05-27,48.250000,50.200001,48.099998,50.000000,48.273895,659100
2021-05-28,50.000000,51.900002,49.700001,51.900002,50.108299,1539501
2021-05-31,51.799999,52.799999,51.500000,52.700001,50.880680,757872
2021-06-01,52.700001,53.200001,51.500000,51.599998,49.818657,977446
2021-06-02,51.599998,53.099998,50.000000,52.900002,51.073780,1536421
2021-06-03,53.000000,54.599998,52.799999,54.500000,52.618546,1460017
2021-06-04,54.900002,57.000000,54.500000,56.599998,54.646046,1565077
2021-06-07,57.000000,58.000000,53.900002,56.000000,54.066761,1627185
2021-06-08,56.400002,56.900002,53.900002,55.200001,53.294376,790420
2021-06-09,55.000000,56.900002,54.900002,56.700001,54.742596,1033917
2021-06-10,56.799999,57.900002,55.099998,57.000000,55.032238,969017
2021-06-11,57.000000,58.000000,55.000000,57.400002,55.418430,1046759
2021-06-14,57.799999,58.400002,57.099998,58.299999,56.287357,1204489
2021-06-15,58.400002,58.900002,56.700001,58.400002,56.383907,905629
2021-06-16,58.200001,59.599998,57.299999,59.200001,57.156288,844909
2021-06-17,59.500000,60.000000,57.200001,58.500000,56.480453,553211
2021-06-18,58.500000,58.500000,56.500000,57.000000,55.032238,482368
2021-06-22,57.400002,57.599998,54.000000,57.299999,55.321880,1003527
2021-06-23,57.400002,59.099998,56.599998,59.000000,56.963192,1006379
2021-06-24,59.000000,60.500000,58.000000,60.200001,58.121769,913460
2021-06-25,58.000000,59.700001,57.000000,59.500000,57.445930,872345
2021-06-28,59.099998,60.000000,58.099998,58.900002,56.866646,641924
2021-06-29,58.900002,60.400002,57.400002,60.299999,58.218315,1057751
2021-06-30,60.400002,61.400002,57.500000,58.200001,56.190811,588000
2021-07-01,58.000000,58.900002,57.200001,58.200001,56.190811,256897
2021-07-02,58.900002,59.299999,57.299999,58.799999,56.770100,569519
